"","StartDate","EndDate","condition","LibCon","WhtDis_comp","LibID","LibDis_comp"
"235","4/17/2019 12:39:30","4/17/2019 12:46:18","Actual threat",8,1.80555555555556,7,1.05555555555556
"236","4/17/2019 12:25:44","4/17/2019 12:39:51","Actual threat",2,2.44444444444444,3.5,4.25
"237","4/17/2019 15:14:31","4/17/2019 15:20:21","Actual threat",6,2.63888888888889,6,2.11111111111111
"238","4/17/2019 12:46:24","4/17/2019 13:00:41","Actual threat",2,4,2,6.08333333333333
"239","4/17/2019 14:06:41","4/17/2019 14:16:01","Actual threat",4,2.34722222222222,2.25,5.20833333333333
"240","4/17/2019 16:29:45","4/17/2019 16:32:05","Actual threat",2,2.15277777777778,2,4.94444444444444
"241","4/17/2019 12:25:54","4/17/2019 12:34:26","Actual threat",2,2.25,1.25,6.48611111111111
"242","4/17/2019 15:29:27","4/17/2019 15:42:22","Actual threat",8,4.5,5.5,2.52777777777778
"243","4/17/2019 15:36:04","4/17/2019 15:41:58","Actual threat",2,2.65277777777778,3.75,4.58333333333333
"244","4/17/2019 12:27:24","4/17/2019 12:31:20","Actual threat",8,3.44444444444444,6.5,3.25
"245","4/17/2019 12:38:20","4/17/2019 12:41:02","Actual threat",7,1.83333333333333,4,2
"246","4/17/2019 12:25:41","4/17/2019 12:36:08","Actual threat",5,4.52777777777778,4.25,3.16666666666667
"247","4/17/2019 12:39:11","4/17/2019 13:15:22","Actual threat",2,2.58333333333333,1,6.61111111111111
"248","4/17/2019 16:44:52","4/17/2019 16:52:25","Actual threat",4,3.31944444444444,2,4.38888888888889
"249","4/17/2019 12:26:57","4/17/2019 12:35:16","Actual threat",2,2.11111111111111,2,5.77777777777778
"250","4/17/2019 12:48:15","4/17/2019 12:57:35","Actual threat",4,2.70833333333333,1.75,5.73611111111111
"251","4/17/2019 13:04:01","4/17/2019 13:39:45","Actual threat",6,3.23611111111111,5.75,2.76388888888889
"252","4/17/2019 12:42:55","4/17/2019 12:46:42","Actual threat",8,2.75,4.5,3.41666666666667
